Grand Architect,Pili-Pala
Vizier of Remedies,Devoted Druid
Deadeye Navigator,Palinchron,Peregrine Drake,Great Whale
Riku of Two Reflections,Palinchron
Temur Sabertooth,Great Oak Guardian,Quirion Ranger,Paradox Engine,Wirewood Symbiote,Gyre Sage,"Selvala, Heart of the Wilds",Karametra's Acolyte
Axebane Guardian,Umbral Mantle
Overgrown Battlement,Umbral Mantle
Exquisite Blood,Sanguine Bond
Blasting Station,Summoning Station,Mycosynth Lattice
Zhur-Taa Druid,Elite Arcanist,Triton Tactics
Solemnity,Geralf's Messenger,Blasting Station
"Mikaeus, the Unhallowed",Blasting Station,Tatterkite
Bloodchief Ascension,Mindcrank
Basalt Monolith,Mesmeric Orb
Mindcrank,Duskmantle Guildmage
Painter's Servant,Grindstone
Helm of Obedience,Rest in Peace
Mana Severance,Undercity Informer,Balustrade Spy
Archangel of Thune,Horizon Chimera,Spike Feeder,Fathom Mage
